Infected,With_Enzyme,Without_Enzyme,Change_in_CT
Infected,26.4545,23.8817,-2.5728
Infected,27.0512,25.2359,-1.8153
Infected,25.9480,23.2597,-2.6883
Infected,24.5424,22.8753,-1.6670
Control,23.8051,22.5703,-1.2349
Control,23.3522,22.5535,-0.7987
Control,23.7661,22.2970,-1.4691
Control,23.3672,22.8753,-0.4919
Control,26.2367,26.2684,0.0317
Control,23.0192,22.8835,-0.1357
Control,28.2538,27.2777,-0.9761
Infected,27.7252,22.8835,-4.8417
Infected,27.1359,25.5671,-1.5688
Infected,25.1938,22.9866,-2.2072
Control,29.3368,27.7662,-1.5706
Infected,27.4859,25.2322,-2.2537
,,,
